entity:ID,name,type,frequency,:LABEL
1,"Pulmonary Disease, Chronic Obstructive",Disease,1034,Disease
2,Inflammation,Disease,4175,Disease
3,Anorexia,Disease,147,Disease
4,Sarcopenia,Disease,2072,Disease
5,GPT,Gene,48,Gene
6,Death,Disease,21022,Disease
7,"Renal Insufficiency, Chronic",Disease,1503,Disease
8,Dementia,Disease,5119,Disease
9,Vision Disorders,Disease,654,Disease
10,Endotoxemia,Disease,13,Disease
11,Aggressive Periodontitis,Disease,1,Disease
12,CD8A,Gene,184,Gene
13,Lung Neoplasms,Disease,580,Disease
14,Constipation,Disease,214,Disease
15,Diabetes Mellitus,Disease,8564,Disease
16,Cardiovascular Diseases,Disease,5207,Disease
17,Cholesterol,Lipid,1675,Lipid
18,Head and Neck Neoplasms,Disease,68,Disease
19,Melanoma,Disease,325,Disease
20,Atrial Fibrillation,Disease,2006,Disease
21,Hypertension,Disease,5297,Disease
22,Stroke,Disease,3960,Disease
23,Communicable Diseases,Disease,768,Disease
24,Infections,Disease,3852,Disease
25,HIV Infections,Disease,1670,Disease
26,Heart Diseases,Disease,1312,Disease
27,Chronic Disease,Disease,1586,Disease
28,Blindness,Disease,273,Disease
29,Uveitis,Disease,27,Disease
30,Panuveitis,Disease,5,Disease
31,Pituitary Neoplasms,Disease,60,Disease
32,"Diabetes Mellitus, Type 2",Disease,1158,Disease
33,Doxorubicin,Carbohydrate,193,Carbohydrate
34,Liposarcoma,Disease,14,Disease
35,Nervous System Diseases,Disease,982,Disease
36,"Diabetes Mellitus, Type 1",Disease,135,Disease
37,Glucose,Carbohydrate,1998,Carbohydrate
38,Acute Coronary Syndrome,Disease,140,Disease
39,Gastrointestinal Hemorrhage,Disease,137,Disease
40,Hip Fractures,Disease,1317,Disease
41,Seizures,Disease,969,Disease
42,Hearing Disorders,Disease,73,Disease
43,Pneumonia,Disease,1023,Disease
44,Ascorbic Acid,Carbohydrate,221,Carbohydrate
45,Cholecalciferol,Lipid,57,Lipid
46,alpha-Linolenic Acid,Lipid,20,Lipid
47,Cerebral Infarction,Disease,819,Disease
48,Insulin Glargine,Peptide,84,Peptide
49,INS,Gene,2809,Gene
50,Colonic Diseases,Disease,12,Disease
51,EPO,Gene,140,Gene
52,Anemia,Disease,990,Disease
53,"Kidney Failure, Chronic",Disease,600,Disease
54,GHRH,Gene,81,Gene
55,GGH,Gene,150,Gene
56,Obesity,Disease,3907,Disease
57,Osteoporosis,Disease,2297,Disease
58,CD4,Gene,396,Gene
59,Erectile Dysfunction,Disease,516,Disease
60,"Scleroderma, Systemic",Disease,51,Disease
61,Autoimmune Diseases,Disease,353,Disease
62,Pain,Disease,2715,Disease
63,Ulcer,Disease,412,Disease
64,Neoplasms,Disease,10720,Disease
65,Drug-Related Side Effects and Adverse Reactions,Disease,1368,Disease
66,Lymphoma,Disease,277,Disease
67,Non-alcoholic Fatty Liver Disease,Disease,184,Disease
68,Rupture,Disease,204,Disease
69,PLP1,Gene,8,Gene
70,Nausea,Disease,115,Disease
71,Sleep Wake Disorders,Disease,884,Disease
72,Hemorrhage,Disease,1253,Disease
73,Coronary Artery Disease,Disease,2409,Disease
74,Heart Failure,Disease,2995,Disease
75,Colorectal Neoplasms,Disease,741,Disease
76,"Fractures, Bone",Disease,2988,Disease
77,Wounds and Injuries,Disease,1313,Disease
78,Chemical and Drug Induced Liver Injury,Disease,348,Disease
79,Congenital Hyperinsulinism,Disease,35,Disease
80,CRP,Gene,871,Gene
81,Urinary Bladder Neoplasms,Disease,119,Disease
82,Neoplasm Metastasis,Disease,553,Disease
83,Alzheimer Disease,Disease,6178,Disease
84,C9orf72,Gene,16,Gene
85,UMOD,Gene,33,Gene
86,Chronic Kidney Disease-Mineral and Bone Disorder,Disease,169,Disease
87,Dyspnea,Disease,325,Disease
88,Tachypnea,Disease,6,Disease
89,Delirium,Disease,888,Disease
90,"Ezetimibe, Simvastatin Drug Combination",Pharmaceutical Preparations,1,Pharmaceutical Preparations
91,Myocardial Infarction,Disease,1289,Disease
92,Heart Block,Disease,53,Disease
93,"Arrhythmias, Cardiac",Disease,719,Disease
94,Psychomotor Agitation,Disease,122,Disease
95,Coma,Disease,140,Disease
96,Bradycardia,Disease,99,Disease
97,Rhabdomyolysis,Disease,59,Disease
98,Hypothermia,Disease,97,Disease
99,Fever,Disease,368,Disease
100,Pneumoperitoneum,Disease,8,Disease
101,"Hypertension, Pulmonary",Disease,230,Disease
102,Bronchial Spasm,Disease,10,Disease
103,Prostatic Neoplasms,Disease,784,Disease
104,Triglycerides,Lipid,676,Lipid
105,Ventricular Dysfunction,Disease,86,Disease
106,Tricuspid Valve Insufficiency,Disease,35,Disease
107,Fatty Acids,Lipid,303,Lipid
108,Memory Disorders,Disease,641,Disease
109,Huntington Disease,Disease,253,Disease
110,Parkinson Disease,Disease,1735,Disease
111,Angina Pectoris,Disease,252,Disease
112,Fatigue,Disease,567,Disease
113,Parkinsonian Disorders,Disease,168,Disease
114,Arterial Occlusive Diseases,Disease,66,Disease
115,Phosphatidylcholines,Lipid,40,Lipid
116,"Fatty Acids, Monounsaturated",Lipid,13,Lipid
117,Joint Diseases,Disease,248,Disease
118,Cerebrovascular Disorders,Disease,941,Disease
119,Lymphedema,Disease,28,Disease
120,Ceramides,Carbohydrate;Lipid,183,Carbohydrate;Lipid
121,SLC2A4,Gene,23,Gene
122,AKT1,Gene,214,Gene
123,Adenomatous Polyposis Coli,Disease,119,Disease
124,Hypereosinophilic Syndrome,Disease,5,Disease
125,"Plaque, Amyloid",Disease,94,Disease
126,Low Back Pain,Disease,143,Disease
127,CISD3,Gene,1,Gene
128,CISD2,Gene,39,Gene
129,LYN,Gene,1,Gene
130,Respiratory Tract Infections,Disease,317,Disease
131,Immunologic Deficiency Syndromes,Disease,886,Disease
132,Meibomian Gland Dysfunction,Disease,27,Disease
133,Skin Neoplasms,Disease,219,Disease
134,Dry Eye Syndromes,Disease,89,Disease
135,Sjogren's Syndrome,Disease,74,Disease
136,Androgen-Insensitivity Syndrome,Disease,6,Disease
137,"Dementia, Vascular",Disease,448,Disease
138,"Carcinoma, Hepatocellular",Disease,659,Disease
139,FOXA1,Gene,17,Gene
140,NOX1,Gene,13,Gene
141,Infliximab,Protein,188,Protein
142,NOX4,Gene,15,Gene
143,NOX5,Gene,3,Gene
144,Pulmonary Alveolar Proteinosis,Disease,4,Disease
145,"Death, Sudden",Disease,189,Disease
146,Aortic Valve Insufficiency,Disease,36,Disease
147,Hyperpigmentation,Disease,38,Disease
148,Erythema,Disease,33,Disease
149,Mitochondrial Diseases,Disease,791,Disease
150,"Genetic Diseases, Inborn",Disease,965,Disease
151,Postpartum Hemorrhage,Disease,97,Disease
152,Polycystic Ovary Syndrome,Disease,249,Disease
153,AMH,Gene,119,Gene
154,LCAT,Gene,2,Gene
155,Lecithins,Lipid,3,Lipid
156,GH1,Gene,230,Gene
157,FSHR,Gene,5,Gene
158,LHCGR,Gene,4,Gene
159,BMPR1B,Gene,5,Gene
160,L1CAM,Gene,4,Gene
161,CDKN2A,Gene,184,Gene
162,GHR,Gene,29,Gene
163,TGFA,Gene,34,Gene
164,SLC25A6,Gene,3,Gene
165,S100A8,Gene,13,Gene
166,S100A9,Gene,7,Gene
167,Vascular Neoplasms,Disease,7,Disease
168,MIR22,RNA,9,RNA
169,HDAC4,Gene,11,Gene
170,RCOR1,Gene,2,Gene
171,RGS2,Gene,9,Gene
172,NFE2L2,Gene,225,Gene
173,NQO1,Gene,8,Gene
174,Oleic Acid,Lipid,18,Lipid
175,GCLM,Gene,6,Gene
176,Metabolic Syndrome,Disease,1599,Disease
177,Dyslipidemias,Disease,463,Disease
178,Adrenal Insufficiency,Disease,273,Disease
179,Albuminuria,Disease,193,Disease
180,"Pancreatitis, Acute Necrotizing",Disease,10,Disease
181,"Hypotension, Orthostatic",Disease,264,Disease
182,Malnutrition,Disease,461,Disease
183,PKD1,Gene,22,Gene
184,Kidney Diseases,Disease,1678,Disease
185,PKD2,Gene,15,Gene
186,Endocarditis,Disease,128,Disease
187,Osteoporotic Fractures,Disease,463,Disease
188,Venous Thromboembolism,Disease,342,Disease
189,Peptic Ulcer,Disease,117,Disease
190,Necrosis,Disease,245,Disease
191,Renal Insufficiency,Disease,627,Disease
192,Cough,Disease,220,Disease
193,NR1H3,Gene,5,Gene
194,FMR1,Gene,41,Gene
195,Primary Ovarian Insufficiency,Disease,121,Disease
196,"Infertility, Female",Disease,209,Disease
197,Ovarian Diseases,Disease,218,Disease
198,Pericardial Effusion,Disease,29,Disease
199,Thromboembolism,Disease,275,Disease
200,Phosphatidylethanolamines,Lipid,4,Lipid
201,"Fatty Acids, Unsaturated",Lipid,98,Lipid
202,Neoplasm Invasiveness,Disease,83,Disease
203,Vertigo,Disease,46,Disease
204,Benign Paroxysmal Positional Vertigo,Disease,10,Disease
205,"Abnormalities, Drug-Induced",Disease,191,Disease
206,Myalgia,Disease,124,Disease
207,Heparin,Carbohydrate,230,Carbohydrate
208,Venous Thrombosis,Disease,266,Disease
209,"Bone Diseases, Metabolic",Disease,236,Disease
210,"Fractures, Stress",Disease,52,Disease
211,Osteochondritis,Disease,22,Disease
212,Osteochondrodysplasias,Disease,4,Disease
213,Neurotoxicity Syndromes,Disease,242,Disease
214,Respiratory Tract Diseases,Disease,279,Disease
215,VWF,Gene,63,Gene
216,Ristocetin,Carbohydrate;Peptide,2,Carbohydrate;Peptide
217,Ovarian Neoplasms,Disease,191,Disease
218,SIRT1,Gene,760,Gene
219,FOXO3,Gene,184,Gene
220,Heart Arrest,Disease,477,Disease
221,CHARGE Syndrome,Disease,10,Disease
222,Tauopathies,Disease,162,Disease
223,Werner Syndrome,Disease,354,Disease
224,FASLG,Gene,22,Gene
225,"Headache Disorders, Secondary",Disease,393,Disease
226,Cardiovascular Abnormalities,Disease,132,Disease
227,Ventricular Premature Complexes,Disease,48,Disease
228,"Spondylitis, Ankylosing",Disease,19,Disease
229,FNDC5,Gene,54,Gene
230,Headache,Disease,312,Disease
231,Migraine Disorders,Disease,184,Disease
232,Cataract,Disease,559,Disease
233,Hemolytic-Uremic Syndrome,Disease,92,Disease
234,"Purpura, Thrombotic Thrombocytopenic",Disease,6,Disease
235,Myotonic Dystrophy,Disease,192,Disease
236,Epilepsy,Disease,530,Disease
237,Atherosclerosis,Disease,1859,Disease
238,Bronchopneumonia,Disease,14,Disease
239,rs1805124,Mutation,2,Mutation
240,rs7626962,Mutation,2,Mutation
241,Pulmonary Edema,Disease,27,Disease
242,Neutropenia,Disease,193,Disease
243,APOE,Gene,722,Gene
244,BDNF,Gene,150,Gene
245,MAOA,Gene,5,Gene
246,Vomiting,Disease,92,Disease
247,Bone Marrow Diseases,Disease,108,Disease
248,Thrombocytopenia,Disease,153,Disease
249,Leukopenia,Disease,27,Disease
250,Ataxia,Disease,183,Disease
251,TFRC,Gene,16,Gene
252,MAPK8,Gene,54,Gene
253,"Lymphoma, Non-Hodgkin",Disease,88,Disease
254,Anthracyclines,Carbohydrate,129,Carbohydrate
255,Colonic Neoplasms,Disease,172,Disease
256,Prostatic Hyperplasia,Disease,241,Disease
257,Vasculitis,Disease,83,Disease
258,"Colitis, Ischemic",Disease,30,Disease
259,Respiratory Distress Syndrome,Disease,147,Disease
260,"Cardiac Output, Low",Disease,820,Disease
261,HEBP1,Gene,1,Gene
262,PDGFRB,Gene,23,Gene
263,FOS,Gene,11,Gene
264,Calcinosis,Disease,464,Disease
265,Osteosarcoma,Disease,124,Disease
266,IGFBP3,Gene,21,Gene
267,SIRT7,Gene,80,Gene
268,Inflammatory Bowel Diseases,Disease,263,Disease
269,RUNX2,Gene,33,Gene
270,VEGFA,Gene,183,Gene
271,Aneurysm,Disease,1029,Disease
272,Adalimumab,Protein,17,Protein
273,KL,Gene,642,Gene
274,Ustekinumab,Protein,7,Protein
275,ALB,Gene,251,Gene
276,Hyperglycemia,Disease,503,Disease
277,Autoimmune Diseases of the Nervous System,Disease,6,Disease
278,Rituximab,Protein,81,Protein
279,Glycogen Storage Disease Type II,Disease,133,Disease
280,Atrophy,Disease,815,Disease
281,Choroidal Neovascularization,Disease,17,Disease
282,Anophthalmos,Disease,109,Disease
283,FGF23,Gene,125,Gene
284,Fasciculation,Disease,86,Disease
285,Edema,Disease,224,Disease
286,MB,Gene,4,Gene
287,Periodontitis,Disease,179,Disease
